asleep,awake
2016-06-01T21:37:10.122,2016-06-02T06:05:09.454
2016-06-02T21:57:45.846,2016-06-03T05:59:06.077
2016-06-03T22:21:27.341,2016-06-04T05:37:03.098
2016-06-04T22:12:11.132,2016-06-05T05:55:28.630
2016-06-05T21:23:28.557,2016-06-06T06:13:20.927
2016-06-06T22:02:50.159,2016-06-07T05:42:15.482
2016-06-07T22:18:02.097,2016-06-08T06:13:38.367
2016-06-08T23:09:01.924,2016-06-09T05:37:24.735
2016-06-09T21:45:46.895,2016-06-10T05:45:30.912
2016-06-10T22:44:25.597,2016-06-11T06:18:26.909
2016-06-11T21:45:01.935,2016-06-12T06:34:18.334
2016-06-12T22:14:00.315,2016-06-13T05:23:47.260
2016-06-13T21:38:29.297,2016-06-14T05:52:20.480
2016-06-14T21:29:22.694,2016-06-15T05:37:04.055
2016-06-15T22:20:47.045,2016-06-16T06:06:34.141
2016-06-16T22:30:46.134,2016-06-17T05:51:58.410
2016-06-17T21:51:59.564,2016-06-18T06:16:37.970
2016-06-18T21:59:57.143,2016-06-19T05:57:40.415
2016-06-19T22:24:21.803,2016-06-20T06:11:19.833
2016-06-20T22:03:51.647,2016-06-21T06:41:54.523
2016-06-21T21:11:44.604,2016-06-22T06:35:27.206
2016-06-22T22:18:46.583,2016-06-23T06:54:44.916
2016-06-23T22:01:36.510,2016-06-24T05:58:47.445
2016-06-24T22:40:07.067,2016-06-25T06:43:31.630
2016-06-25T21:18:31.153,2016-06-26T05:44:33.068
2016-06-26T22:17:09.572,2016-06-27T06:26:25.292
2016-06-27T22:02:33.450,2016-06-28T06:19:19.816
2016-06-28T22:12:14.833,2016-06-29T05:39:35.950
2016-06-29T22:26:09.690,2016-06-30T06:36:08.618
2016-06-30T22:24:49.429,2016-07-01T06:00:28.989
2016-07-01T22:16:57.929,2016-07-02T06:09:16.080
2016-07-02T22:12:17.065,2016-07-03T05:59:26.112
2016-07-03T22:09:37.492,2016-07-04T06:39:50.859
2016-07-04T21:59:16.375,2016-07-05T06:40:46.090
2016-07-05T22:16:31.763,2016-07-06T06:08:25.726
2016-07-06T21:38:14.365,2016-07-07T06:40:15.884
2016-07-07T22:05:24.842,2016-07-08T06:46:27.588
2016-07-08T22:36:07.127,2016-07-09T05:28:59.047
2016-07-09T22:03:36.159,2016-07-10T05:54:03.663
2016-07-10T22:15:24.230,2016-07-11T05:38:59.069
2016-07-11T21:41:59.693,2016-07-12T05:58:15.433
2016-07-12T22:26:03.811,2016-07-13T06:08:11.039
2016-07-13T21:38:38.837,2016-07-14T07:13:57.218
2016-07-14T22:16:45.256,2016-07-15T07:28:21.503
2016-07-15T22:48:40.487,2016-07-16T06:26:21.378
2016-07-16T22:23:41.294,2016-07-17T06:08:32.174
2016-07-17T22:39:56.908,2016-07-18T06:29:00.527
2016-07-18T21:39:56.949,2016-07-19T06:01:50.707
2016-07-19T22:07:27.501,2016-07-20T05:51:48.959
2016-07-20T21:59:58.789,2016-07-21T06:12:41.466
2016-07-21T22:47:55.952,2016-07-22T06:02:25.260
2016-07-22T21:22:48.890,2016-07-23T05:08:33.411
2016-07-23T22:29:50.424,2016-07-24T05:51:51.843
2016-07-24T22:08:45.365,2016-07-25T06:37:50.269
2016-07-25T21:41:12.058,2016-07-26T06:44:51.095
2016-07-26T20:33:25.561,2016-07-27T06:38:40.682
2016-07-27T21:50:19.383,2016-07-28T06:08:04.908
2016-07-28T21:51:24.060,2016-07-29T06:00:59.588
2016-07-29T22:08:21.210,2016-07-30T06:38:14.482
2016-07-30T22:18:26.701,2016-07-31T05:44:58.877
2016-07-31T22:20:45.793,2016-08-01T06:19:34.878
2016-08-01T22:47:07.614,2016-08-02T05:49:22.193
2016-08-02T22:31:39.840,2016-08-03T06:42:00.677
2016-08-03T21:35:20.171,2016-08-04T06:04:24.019
2016-08-04T22:10:40.400,2016-08-05T06:16:02.155
2016-08-05T21:42:35.252,2016-08-06T06:21:59.457
2016-08-06T21:27:10.771,2016-08-07T06:12:45.771
2016-08-07T21:35:30.295,2016-08-08T05:53:12.080
2016-08-08T22:01:36.693,2016-08-09T06:25:47.719
2016-08-09T22:11:00.562,2016-08-10T05:42:09.538
2016-08-10T22:03:52.572,2016-08-11T05:50:26.181
2016-08-11T22:35:24.427,2016-08-12T05:45:36.036
2016-08-12T22:05:41.321,2016-08-13T05:22:54.684
2016-08-13T21:46:28.212,2016-08-14T05:43:39.496
2016-08-14T21:32:31.740,2016-08-15T06:09:36.773
2016-08-15T21:11:36.897,2016-08-16T05:23:36.425
2016-08-16T22:35:15.892,2016-08-17T06:01:03.699
2016-08-17T22:07:48.638,2016-08-18T06:05:25.852
2016-08-18T22:01:35.971,2016-08-19T06:07:43.197
2016-08-19T22:04:53.772,2016-08-20T06:30:40.370
2016-08-20T21:17:18.618,2016-08-21T06:10:53.850
2016-08-21T22:14:06.638,2016-08-22T06:16:49.087
2016-08-22T22:39:30.479,2016-08-23T05:49:01.107
2016-08-23T22:34:21.924,2016-08-24T05:00:12.498
2016-08-24T22:18:42.432,2016-08-25T06:34:38.939
2016-08-25T21:51:43.181,2016-08-26T05:48:19.409
2016-08-26T22:36:56.592,2016-08-27T06:03:15.309
2016-08-27T21:28:07.745,2016-08-28T06:12:10.025
2016-08-28T22:02:08.130,2016-08-29T04:36:19.820
2016-08-29T22:02:20.044,2016-08-30T06:34:40.296
2016-08-30T21:56:48.131,2016-08-31T05:15:10.637
2016-08-31T22:10:52.577,2016-09-01T06:21:16.663
2016-09-01T22:43:18.743,2016-09-02T05:29:21.018
2016-09-02T22:42:10.265,2016-09-03T05:48:04.305
2016-09-03T21:55:04.083,2016-09-04T06:04:33.529
2016-09-04T21:50:33.892,2016-09-05T05:57:28.266
2016-09-05T22:12:56.168,2016-09-06T05:49:10.199
2016-09-06T22:10:16.642,2016-09-07T06:26:18.809
2016-09-07T22:06:36.045,2016-09-08T06:07:54.820
2016-09-08T22:22:52.795,2016-09-09T06:02:50.885
2016-09-09T22:06:38.052,2016-09-10T05:24:16.608
2016-09-10T22:24:54.298,2016-09-11T06:52:59.096
2016-09-11T21:43:41.941,2016-09-12T04:55:42.480
2016-09-12T22:37:43.576,2016-09-13T06:49:00.733
2016-09-13T21:55:45.739,2016-09-14T05:28:26.441
2016-09-14T22:42:10.469,2016-09-15T06:44:19.867
2016-09-15T22:49:14.563,2016-09-16T05:02:03.414
2016-09-16T21:48:39.606,2016-09-17T05:54:17.828
2016-09-17T21:44:11.846,2016-09-18T05:59:23.565
2016-09-18T21:51:00.060,2016-09-19T05:24:38.730
2016-09-19T23:16:00.171,2016-09-20T06:19:51.413
2016-09-20T22:02:44.508,2016-09-21T05:40:22.363
2016-09-21T21:40:40.140,2016-09-22T05:04:09.463
2016-09-22T23:12:47.231,2016-09-23T06:22:45.382
2016-09-23T22:12:02.810,2016-09-24T07:33:38.712
2016-09-24T22:16:45.624,2016-09-25T06:50:44.949
2016-09-25T21:25:17.078,2016-09-26T06:45:19.229
2016-09-26T22:11:24.491,2016-09-27T06:15:29.465
2016-09-27T21:12:59.379,2016-09-28T07:03:39.810
2016-09-28T21:46:31.911,2016-09-29T06:36:00.547
2016-09-29T20:29:35.261,2016-09-30T05:40:02.577
2016-09-30T21:40:15.364,2016-10-01T05:00:17.120
2016-10-01T22:01:22.333,2016-10-02T06:54:07.715
2016-10-02T21:49:44.051,2016-10-03T05:25:25.666
2016-10-03T22:17:55.006,2016-10-04T06:17:13.577
